Place of interest,Type of Place,Place Address,BiciMAD Station,Station Location,Distance
Instalación Deportiva Municipal Básica Los Llanos,Principales espacios de deporte,CALLE FLORENCIO CASTILLO 3,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3069.150288123405
Instalación Deportiva Municipal Básica Los Morales,Principales espacios de deporte,CALLE MORALES 31 Parc. 3.16.2 del P.A.U. de Carabanchel,224 - Caramuel,Calle Caramuel nº 51,6765.328480353429
Instalación Deportiva Municipal Básica Los Morales - Patrimonio Humanidad I,Principales espacios de deporte,CALLE PATRIMONIO DE LA HUMANIDAD 37 Parc. 3.10.4 del P.A.U. de Carabanchel,224 - Caramuel,Calle Caramuel nº 51,6532.312586347644
Instalación Deportiva Municipal Básica Los Morales - Patrimonio Humanidad II,Principales espacios de deporte,"CALLE MORALES  C/ Patrimonio de la Humanidad, 27. Parc. 3.11.3 del P.A.U. de Carabanchel",224 - Caramuel,Calle Caramuel nº 51,6638.370745073044
Instalación Deportiva Municipal Básica Los Poblados,Principales espacios de deporte,AVENIDA POBLADOS  C/V Antig. Carretera a Leganés,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,3626.5399802350803
Instalación Deportiva Municipal Básica Los Rosales I,Principales espacios de deporte,AVENIDA LOS ROSALES 131,235 - Embajadores 191,Calle Sodio nº 1B,4402.562118723378
Instalación Deportiva Municipal Básica Lucano,Principales espacios de deporte,CALLE LUCANO  c/v Esfinge,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3653.348476867833
Instalación Deportiva Municipal Básica Luis Buitrago,Principales espacios de deporte,CALLE LUIS BUITRAGO 7y11,254 - Pío XII,Avenida Pío XII nº 3,3238.2836203340194
Instalación Deportiva Municipal Básica Luis Mitjans,Principales espacios de deporte,CALLE LUIS MITJANS 15,84 - Valderribas,Calle Doctor Esquerdo nº 191,325.2416414428887
Instalación Deportiva Municipal Básica Lyon - Flandes,Principales espacios de deporte,"CALLE LYON 136 (c/v Calle Flandes, 4 posterior)",221 - Pavones,Calle Hacienda de Pavones nº 342,1001.207038444544
Instalación Deportiva Municipal Básica Machupichu,Principales espacios de deporte,AVENIDA MACHUPICHU 50,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,2740.396400838827
Instalación Deportiva Municipal Básica Madrid - Las Tablas,Principales espacios de deporte,CALLE FROMISTA 5,217 - Pedro Rico,Calle Pedro Rico nº 4,3386.4593294034225
Instalación Deportiva Municipal Básica Madrid Sur,Principales espacios de deporte,CALLE PUERTO DE VELATE 18,227 - Concordia,Calle Arroyo del Olivar nº 6,1482.5234849934986
Instalación Deportiva Municipal Básica Mallorca,Principales espacios de deporte,CALLE AGASTIA  esq. Juan Pérez de Zúñiga,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,184.5476491275418
Instalación Deportiva Municipal Básica Manizales,Principales espacios de deporte,CALLE GALAPA 10 c/v Avda. Manizales,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3560.293699225215
Instalación Deportiva Municipal Básica Mar de Japón,Principales espacios de deporte,CALLE MAR DEL JAPON 7,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3386.532252315982
Instalación Deportiva Municipal Básica Maracena,Principales espacios de deporte,CALLE MARACENA 1 c/v Moreja -Orcasur-,213 - Glorieta de Cádiz,Calle Antonio López nº 129,2210.434613392701
Instalación Deportiva Municipal Básica Maris Stella,Principales espacios de deporte,CALLE DOCTOR TOLOSA LATOUR 18 Frente C. Informat. S.S.,213 - Glorieta de Cádiz,Calle Antonio López nº 129,1526.4277349607894
Instalación Deportiva Municipal Básica Martala I,Principales espacios de deporte,CALLE PICO DE LOS ARTILLEROS 5 posterior,219 - Marroquina,Calle Camino de los Vinateros nº 108,724.4327208998125
Instalación Deportiva Municipal Básica Maruja Mallo,Principales espacios de deporte,AVENIDA MARUJA MALLO 7 c/v Conchita Montes,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,4328.6025502729035
Instalación Deportiva Municipal Básica María Inmaculada,Principales espacios de deporte,CAMINO CRUCES  frente Condesa de Teba,224 - Caramuel,Calle Caramuel nº 51,5135.324671450152
Instalación Deportiva Municipal Básica María de Austria,Principales espacios de deporte,PARQUE EMPERATRIZ MARÍA DE AUSTRIA  Parque Sur,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2367.8412246189205
Instalación Deportiva Municipal Básica Matilde Gayo,Principales espacios de deporte,CALLE MATILDE GAYO 4,222 - Antonio López,Calle Eugenio Caxes frente al nº 12,206.72810752677077
Instalación Deportiva Municipal Básica Maíz,Principales espacios de deporte,CALLE RICARDO BELTRAN Y ROZPIDE 28 frente calle Maíz,213 - Glorieta de Cádiz,Calle Antonio López nº 129,2253.529270096272
Instalación Deportiva Municipal Básica Medio Amposta,Principales espacios de deporte,CALLE ALBERIQUE  c/v Alconera,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,2542.1434387330173
Instalación Deportiva Municipal Básica Mercedes Arteaga,Principales espacios de deporte,CALLE MERCEDES ARTEAGA S/N c/v San Pantaleón,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,876.3388747056797
Instalación Deportiva Municipal Básica Miguel Aracil,Principales espacios de deporte,CALLE JOAQUIN LORENZO 39,261 - Facultad Derecho,Avenida Complutense nº 23,2586.7077157822387
Instalación Deportiva Municipal Básica Miguel Hernández,Principales espacios de deporte,AVENIDA MIGUEL HERNANDEZ S/N frente al 36-38,221 - Pavones,Calle Hacienda de Pavones nº 342,1321.8169573596995
Instalación Deportiva Municipal Básica Miguel Riesco,Principales espacios de deporte,CALLE MIGUEL RIESCO 7,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,2838.3567165512804
Instalación Deportiva Municipal Básica Miguel Riesco - Ramón Power,Principales espacios de deporte,CALLE MIGUEL RIESCO 1,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,2762.8667590445066
Instalación Deportiva Municipal Básica Miguel Yuste,Principales espacios de deporte,CALLE MIGUEL YUSTE  c/v Emilio Muñoz,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,2120.6435771440792
Instalación Deportiva Municipal Básica Minaya,Principales espacios de deporte,CALLE MINAYA 5,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3090.3780292368724
Instalación Deportiva Municipal Básica Mirador de la Reina (Cerro Minguete),Principales espacios de deporte,CALLE MIRADOR DE LA REINA 2 c/v Cerro Minguete,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,4024.499364297733
Instalación Deportiva Municipal Básica Mirasierra,Principales espacios de deporte,CALLE NURIA 83,217 - Pedro Rico,Calle Pedro Rico nº 4,3031.736586006982
Instalación Deportiva Municipal Básica Molino,Principales espacios de deporte,PASEO MOLINO 2,177 - Legazpi,Calle Bolívar nº 3,109.66107702887675
Instalación Deportiva Municipal Básica Mondariz,Principales espacios de deporte,PLAZA MONDARIZ 1,217 - Pedro Rico,Calle Pedro Rico nº 4,1908.286075552979
Instalación Deportiva Municipal Básica Monovar,Principales espacios de deporte,CALLE MONOVAR 3,254 - Pío XII,Avenida Pío XII nº 3,2806.4406292129374
Instalación Deportiva Municipal Básica Montalbos,Principales espacios de deporte,CALLE MONTALBOS 14,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,2655.7938926952593
Instalación Deportiva Municipal Básica Montecarmelo,Principales espacios de deporte,CALLE MONASTERIO DE EL PAULAR 138,217 - Pedro Rico,Calle Pedro Rico nº 4,2539.3024993234826
Instalación Deportiva Municipal Básica Montecarmelo McDonald´s,Principales espacios de deporte,AVENIDA MONTECARMELO 1,217 - Pedro Rico,Calle Pedro Rico nº 4,2495.7217485439587
Instalación Deportiva Municipal Básica Mártires Maristas,Principales espacios de deporte,AVENIDA MARTIRES MARISTAS 2 c/v Antonio Machado,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,1449.514724540096
Instalación Deportiva Municipal Básica Nevado de Cumbal,Principales espacios de deporte,CALLE NEVADO DEL CUMBAL 4,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3469.4559897312106
Instalación Deportiva Municipal Básica Nicolasa Gómez,Principales espacios de deporte,CALLE NICOLASA GOMEZ 1,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3319.2220782066042
Instalación Deportiva Municipal Básica Novecento,Principales espacios de deporte,CALLE NOVECENTO 6,227 - Concordia,Calle Arroyo del Olivar nº 6,2276.9965677461555
Instalación Deportiva Municipal Básica Nuestra Señora de Loreto,Principales espacios de deporte,CALLE TIMON 16,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,7745.312710519106
Instalación Deportiva Municipal Básica Nuestra Señora de la Paloma,Principales espacios de deporte,CARRERA SAN FRANCISCO 4,38 - Plaza de los Carros,Carrera de San Francisco nº 1,87.52375145039454
Instalación Deportiva Municipal Básica Nueva Esperanza,Principales espacios de deporte,CALLE ANOETA 1,235 - Embajadores 191,Calle Sodio nº 1B,4095.9958300895364
Instalación Deportiva Municipal Básica Ontanilla,Principales espacios de deporte,AVENIDA LOS POBLADOS  C/V Ontanilla,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2958.977149708781
Instalación Deportiva Municipal Básica Orcasur,Principales espacios de deporte,AVENIDA ORCASUR 53,213 - Glorieta de Cádiz,Calle Antonio López nº 129,2618.72203369186
Instalación Deportiva Municipal Básica Orión-Jupiter,Principales espacios de deporte,CALLE ORION 52,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,8502.366735663594
Instalación Deportiva Municipal Básica Oscar y Jesús,Principales espacios de deporte,CALLE SOLEDAD CAZORLA 22,224 - Caramuel,Calle Caramuel nº 51,6024.073733996955
Instalación Deportiva Municipal Básica Oyarzun,Principales espacios de deporte,PLAZA OYARZUN 1,213 - Glorieta de Cádiz,Calle Antonio López nº 129,2899.4579343105606
Instalación Deportiva Municipal Básica P.A.R. Antonio López,Principales espacios de deporte,CALLE ANTONIO LOPEZ 27,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,473.0757045558756
Instalación Deportiva Municipal Básica P.A.R. Avda. Marqués de Corbera,Principales espacios de deporte,AVENIDA MARQUES DE CORBERA 62,234 - Marqués de Corbera 52,Avenida Marqués de Corbera nº 52,204.98031636346238
Instalación Deportiva Municipal Básica P.A.R. Ramón Gómez de la Serna,Principales espacios de deporte,CALLE RAMON GOMEZ DE LA SERNA 49,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,3525.3334766367875
Instalación Deportiva Municipal Básica PAR Manuel Noya,Principales espacios de deporte,CALLE MANUEL NOYA 2 junto Puente Los Capuchinos,228 - San Delfín,Calle San Delfín nº 9,743.0854631561701
Instalación Deportiva Municipal Básica PAR Rafaela Ybarra,Principales espacios de deporte,AVENIDA RAFAELA YBARRA 51,213 - Glorieta de Cádiz,Calle Antonio López nº 129,1536.9224325050282
Instalación Deportiva Municipal Básica Pablo Casals,Principales espacios de deporte,PASEO ERMITA DEL SANTO 10,216 - Puerta del Ángel,Plaza Puerta del Ángel nº 4,524.6410017634587
Instalación Deportiva Municipal Básica Padre Claret,Principales espacios de deporte,CALLE PADRE CLARET 18,251 - Corazón de María,Calle Santa Hortensia nº 31,669.9480157404553
Instalación Deportiva Municipal Básica Padre Damián,Principales espacios de deporte,CALLE PADRE DAMIAN 26,158 - Alberto Alcocer,Avenida de Alberto Alcocer nº 22,250.51862790963472
Instalación Deportiva Municipal Básica Palomeras Bajas,Principales espacios de deporte,CALLE PUERTO DE BALBARAN s/n,227 - Concordia,Calle Arroyo del Olivar nº 6,1846.3020463738633
Instalación Deportiva Municipal Básica Parque Adelfas,Principales espacios de deporte,CALLE MARTINEZ CORROCHANO esquina  con calle Luis Mitjans 26,77 - Conde de Casal,Plaza del Conde de Casal nº 8,393.06967085304257
Instalación Deportiva Municipal Básica Parque Agustín Rodríguez Sahagún I,Principales espacios de deporte,PASEO CAPITAN BLANCO ARGIBAY S/N Parque A. Rodríguez Sahagún,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,1219.5993533766305
Instalación Deportiva Municipal Básica Parque Agustín Rodríguez Sahagún II,Principales espacios de deporte,CALLE SINESIO DELGADO 30,248 - Torre Cepsa,Calle Sinesio Delgado nº 2,32.75849534811233
Instalación Deportiva Municipal Básica Parque Alfredo Kraus,Principales espacios de deporte,CALLE MAR ADRIATICO 7,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3149.941660239348
Instalación Deportiva Municipal Básica Parque Aluche,Principales espacios de deporte,CALLE VALMOJADO 4,224 - Caramuel,Calle Caramuel nº 51,3517.2949196550558
Instalación Deportiva Municipal Básica Parque Arroyo Fresno,Principales espacios de deporte,AVENIDA VENTISQUERO DE LA CONDESA 43,217 - Pedro Rico,Calle Pedro Rico nº 4,3432.3143762611976
Instalación Deportiva Municipal Básica Parque Arroyo Pozuelo I,Principales espacios de deporte,CALLE ARROYO DE POZUELO 10,261 - Facultad Derecho,Avenida Complutense nº 23,4854.703041240323
Instalación Deportiva Municipal Básica Parque Boadilla,Principales espacios de deporte,CARRETERA BOADILLA DEL MONTE 1,224 - Caramuel,Calle Caramuel nº 51,4410.819798936077
Instalación Deportiva Municipal Básica Parque Breogán,Principales espacios de deporte,AVENIDA BRASILIA 2,240 - Avenida Brasilia,Avenida de Brasilia frente al nº 9,54.15256135943345
Instalación Deportiva Municipal Básica Parque Calle Onil,Principales espacios de deporte,CALLE NAVIA 12 c/v Luis Chamizo,224 - Caramuel,Calle Caramuel nº 51,5212.674384112852
Instalación Deportiva Municipal Básica Parque Caramuel,Principales espacios de deporte,CALLE SEPULVEDA s/n,224 - Caramuel,Calle Caramuel nº 51,304.6361608906987
Instalación Deportiva Municipal Básica Parque Cedral,Principales espacios de deporte,"CALLE RODRIGUEZ ILLANES S/N esq. Arturo Soria, 233",254 - Pío XII,Avenida Pío XII nº 3,1374.8887452746465
Instalación Deportiva Municipal Básica Parque Cerro Almodovar,Principales espacios de deporte,PARQUE CERRO ALMODOVAR ,224 - Caramuel,Calle Caramuel nº 51,2704.9708241450558
Instalación Deportiva Municipal Básica Parque Cerro Almodóvar,Principales espacios de deporte,CALLE CERRO DE ALMODOVAR 9,221 - Pavones,Calle Hacienda de Pavones nº 342,4155.8929006092485
Instalación Deportiva Municipal Básica Parque Cuña Verde,Principales espacios de deporte,AVENIDA DAROCA 300,221 - Pavones,Calle Hacienda de Pavones nº 342,2119.0158470057168
Instalación Deportiva Municipal Básica Parque Darwin,Principales espacios de deporte,AVENIDA MORATALAZ 93,220 - Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,419.61640340449554
Instalación Deportiva Municipal Básica Parque Deportivo Doctor García Tapia 1,Principales espacios de deporte,CALLE CARMEN AMAYA 3 Posterior,218 - Camino Vinateros,Calle Camino de los Vinateros nº 28,231.6572683255333
Instalación Deportiva Municipal Básica Parque Deportivo Doctor García Tapia 2,Principales espacios de deporte,CALLE CARMEN AMAYA 1 posterior,218 - Camino Vinateros,Calle Camino de los Vinateros nº 28,217.71484577309985
Instalación Deportiva Municipal Básica Parque Doña Guiomar II,Principales espacios de deporte,CARRETERA ESTACION DE HORTALEZA 7,254 - Pío XII,Avenida Pío XII nº 3,3004.5877959658283
Instalación Deportiva Municipal Básica Parque Doña Guiomar III,Principales espacios de deporte,CALLE MONÓVAR 4,254 - Pío XII,Avenida Pío XII nº 3,2910.4714183013843
Instalación Deportiva Municipal Básica Parque El Calero,Principales espacios de deporte,CALLE VIRGEN DE NURIA S/N,189 - Avenida Donostiarra,Calle Virgen de la Alegría nº 18,337.4987623131039
Instalación Deportiva Municipal Básica Parque Estafeta,Principales espacios de deporte,CALLE ESTAFETA 4,235 - Embajadores 191,Calle Sodio nº 1B,1714.3875364848884
Instalación Deportiva Municipal Básica Parque Eugenia de Montijo,Principales espacios de deporte,CALLE PARQUE EUGENIA DE MONTIJO S/N,224 - Caramuel,Calle Caramuel nº 51,4488.631985622512
Instalación Deportiva Municipal Básica Parque Gabriela Mistral,Principales espacios de deporte,CALLE ROSALIA DE CASTRO 69,261 - Facultad Derecho,Avenida Complutense nº 23,3746.524505598742
Instalación Deportiva Municipal Básica Parque General García Escámez,Principales espacios de deporte,CALLE ANSELMO LORENZO  Jardines Gral. García Escámez,224 - Caramuel,Calle Caramuel nº 51,5442.269079746171
Instalación Deportiva Municipal Básica Parque Huerta de la Salud,Principales espacios de deporte,CALLE MAR DE LAS ANTILLAS 10,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3573.297232403532
Instalación Deportiva Municipal Básica Parque Huerta del Obispo,Principales espacios de deporte,CALLE JUAN PEÑALVER 34 c/v CALLE PALOMARES,213 - Glorieta de Cádiz,Calle Antonio López nº 129,4968.466890486979
Instalación Deportiva Municipal Básica Parque Juan Pablo II,Principales espacios de deporte,AVENIDA PICEAS 13,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3580.3402411434718
Instalación Deportiva Municipal Básica Parque La Viña,Principales espacios de deporte,CALLE CONCEJO DE TEVERGA 2,180 - Méndez Álvaro,Calle Retama nº 5,960.4747321519263
Instalación Deportiva Municipal Básica Parque Luis Buñuel,Principales espacios de deporte,CALLE LUIS BUÑUEL 38,221 - Pavones,Calle Hacienda de Pavones nº 342,1833.730338468217
Instalación Deportiva Municipal Básica Parque Madrid Sur,Principales espacios de deporte,CALLE LA DILIGENCIA 5 Parque Madrid Sur,227 - Concordia,Calle Arroyo del Olivar nº 6,1290.4007518872093
Instalación Deportiva Municipal Básica Parque Manoteras - Vélez Rubio,Principales espacios de deporte,CALLE BACARES 20,254 - Pío XII,Avenida Pío XII nº 3,2440.446630626774
Instalación Deportiva Municipal Básica Parque Manuel Azaña,Principales espacios de deporte,CALLE JAZMÍN 51,188 - Puente de Ventas,Avenida de Daroca nº 2,142.1296906894882
Instalación Deportiva Municipal Básica Parque Marchamalo,Principales espacios de deporte,PARQUE MARCHAMALO ,220 - Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,1031.463346510794
Instalación Deportiva Municipal Básica Parque Martala I,Principales espacios de deporte,CALLE PICO DE LOS ARTILLEROS 5,219 - Marroquina,Calle Camino de los Vinateros nº 108,724.4327208998125
Instalación Deportiva Municipal Básica Parque Martala II,Principales espacios de deporte,CALLE PICO DE LOS ARTILLEROS 21,219 - Marroquina,Calle Camino de los Vinateros nº 108,842.2738725978955
Instalación Deportiva Municipal Básica Parque Meseta,Principales espacios de deporte,RONDA COOPERATIVAS 6,213 - Glorieta de Cádiz,Calle Antonio López nº 129,2545.525135944317
Instalación Deportiva Municipal Básica Parque Norte,Principales espacios de deporte,CALLE Arzobispo Morcillo 9 c/v Frómista,249 - Manuel Caldeiro,Paseo de la Castellana nº 298,3883.7739341076767
Instalación Deportiva Municipal Básica Parque Olof Palme,Principales espacios de deporte,CALLE CERECINOS 4 Parque Olof Palme,228 - San Delfín,Calle San Delfín nº 9,1156.2762418645768
Instalación Deportiva Municipal Básica Parque Plata y Castañar,Principales espacios de deporte,PASEO LOS FERROVIARIOS s/n,213 - Glorieta de Cádiz,Calle Antonio López nº 129,4810.23970292377
Instalación Deportiva Municipal Básica Parque Pradolongo,Principales espacios de deporte,"PARQUE PRADOLONGO  Rafaela Ybarra, Cristo de la Victoria, Los Poblados",213 - Glorieta de Cádiz,Calle Antonio López nº 129,1900.3895426257745
Instalación Deportiva Municipal Básica Parque Rafael Finat,Principales espacios de deporte,CALLE DAMASQUILLO 1,224 - Caramuel,Calle Caramuel nº 51,4937.235456282426
Instalación Deportiva Municipal Básica Parque San Blas,Principales espacios de deporte,"CALLE ALBAIDA S/N Avda. Arcentales, Alberique y Ajofrín",215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,2245.9827759659083
Instalación Deportiva Municipal Básica Parque San Luciano,Principales espacios de deporte,CALLE SAN LUCIANO 12,213 - Glorieta de Cádiz,Calle Antonio López nº 129,2916.589323670456
Instalación Deportiva Municipal Básica Parque Santa Adela,Principales espacios de deporte,CALLE SANTA ADELA 14,254 - Pío XII,Avenida Pío XII nº 3,3854.621625800688
Instalación Deportiva Municipal Básica Parque Sector Surbatán,Principales espacios de deporte,CALLE SEPULVEDA C.V. A CALLE CEBREROS 206,224 - Caramuel,Calle Caramuel nº 51,1889.8574930592906
Instalación Deportiva Municipal Básica Parque Supermanzana 7,Principales espacios de deporte,CALLE FERMIN CABALLERO 25,217 - Pedro Rico,Calle Pedro Rico nº 4,1656.054125795622
Instalación Deportiva Municipal Básica Parque Tanatorio (Salvador Madariaga),Principales espacios de deporte,CALLE SALVADOR DE MADARIAGA ,231 - Derechos Humanos,Calle Derechos Humanos nº 12,157.1286756264654
Instalación Deportiva Municipal Básica Parque Z,Principales espacios de deporte,CALLE MARROQUINA 88 posterior - Parque de Moratalaz,219 - Marroquina,Calle Camino de los Vinateros nº 108,257.7885750323711
Instalación Deportiva Municipal Básica Parque de Atenas,Principales espacios de deporte,PASEO VIRGEN DEL PUERTO 3,167 - Segovia 45,Calle Segovia nº 45,526.6744410350183
Instalación Deportiva Municipal Básica Parque de Berlín,Principales espacios de deporte,CALLE MARCENADO 49,197 - Parque Berlín,Avenida de Concha Espina nº 34,532.6970870539997
Instalación Deportiva Municipal Básica Parque de Comillas,Principales espacios de deporte,CALLE ANTONIO DE LEYVA 35,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,593.5875248096315
Instalación Deportiva Municipal Básica Parque de Roma I,Principales espacios de deporte,CALLE JUAN ESPLANDIU 4,182 - Parque Roma,Calle Alcalde Sáinz de Baranda frente al nº 107,495.4118958463941
Instalación Deportiva Municipal Básica Parque de Roma III,Principales espacios de deporte,CALLE ALCALDE SAINZ DE BARANDA 90,182 - Parque Roma,Calle Alcalde Sáinz de Baranda frente al nº 107,75.00842442267464
Instalación Deportiva Municipal Básica Parque de San Isidro - Gorrión,Principales espacios de deporte,CALLE GORRION 36,223 - Ermita Santo,Paseo de la Ermita del Santo nº 48,1299.6915225258995
Instalación Deportiva Municipal Básica Parque de San Isidro - Vicente Quesada,Principales espacios de deporte,CALLE VICENTE QUESADA Parque de San Isidro,223 - Ermita Santo,Paseo de la Ermita del Santo nº 48,1298.9384689798926
Instalación Deportiva Municipal Básica Parque de Skateboard Ignacio Echeverría,Principales espacios de deporte,PASEO CHOPERA 4,165 - Entrada Matadero,Paseo de la Chopera nº 14,124.43624384935138
Instalación Deportiva Municipal Básica Parque de Villa Rosa,Principales espacios de deporte,CALLE EL PEDERNOSO 19,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3321.3261930330655
Instalación Deportiva Municipal Básica Parque de la Alcazaba,Principales espacios de deporte,AVENIDA EL FERROL 1,207 - Remonta,Calle Azucenas nº 1,1429.062629997817
Instalación Deportiva Municipal Básica Parque de la Arganzuela,Principales espacios de deporte,PASEO YESERIAS 10,174 - Madrid Río-Yeserías,Paseo de Yeserías nº 45,184.9610308662765
Instalación Deportiva Municipal Básica Parque de la Cornisa,Principales espacios de deporte,CALLE ROSARIO 5,37 - Plaza de San Francisco,Plaza de San Francisco nº 5,132.68075578856693
Instalación Deportiva Municipal Básica Parque de la Ventilla,Principales espacios de deporte,CALLE VIA LIMITE 101,248 - Torre Cepsa,Calle Sinesio Delgado nº 2,827.8013026961665
Instalación Deportiva Municipal Básica Parque de la Vicalvarada (centro deportivo),Principales espacios de deporte,CALLE VEREDA DEL PINAR 1,221 - Pavones,Calle Hacienda de Pavones nº 342,3224.425167530738
Instalación Deportiva Municipal Básica Parque de las Cruces,Principales espacios de deporte,AVENIDA POBLADOS S/N,224 - Caramuel,Calle Caramuel nº 51,4554.605131809409
Instalación Deportiva Municipal Básica Parque de las Cruces I,Principales espacios de deporte,CALLE ROMPEDIZO 15,224 - Caramuel,Calle Caramuel nº 51,5197.566330497597
Instalación Deportiva Municipal Básica Parque de las Cruces II,Principales espacios de deporte,CALLE VIDAUBA 3,224 - Caramuel,Calle Caramuel nº 51,4878.037301943534
Instalación Deportiva Municipal Básica Parque del Oeste,Principales espacios de deporte,PASEO CAMOENS S/N,112 - Paseo de Moret,Paseo de Moret nº 11,322.30050012179163
Instalación Deportiva Municipal Básica Parque la Milanera (La Coma),Principales espacios de deporte,CALLE RAMON GOMEZ DE LA SERNA 22,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,3625.3701825392186
Instalación Deportiva Municipal Básica Paseo del Polideportivo,Principales espacios de deporte,CALLE VIVERO DE LA PILARICA 3,221 - Pavones,Calle Hacienda de Pavones nº 342,3662.7335790704756
Instalación Deportiva Municipal Básica Patrimonio Humanidad,Principales espacios de deporte,CALLE PATRIMONIO DE LA HUMANIDAD  Frente al número 15. Parc. 3.12.3 del P.A.U. de Carabanchel,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,6304.981876590323
Instalación Deportiva Municipal Básica Peonías - José Miguel Vicens,Principales espacios de deporte,CALLE PEONIAS 2,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3471.588227386115
Instalación Deportiva Municipal Básica Piedrahíta,Principales espacios de deporte,"CALLE PIEDRAHITA  c/v Real Madrid, 36",212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,3596.412688646952
Instalación Deportiva Municipal Básica Pinar de la Elipa,Principales espacios de deporte,CALLE JOSE LUIS DE ARRESE S/N,233 - Marqués de Corbera 12,Avenida Marqués de Corbera nº 12,379.05207021569623
Instalación Deportiva Municipal Básica Pinos de Osuna,Principales espacios de deporte,CALLE PINOS DE OSUNA 1,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,5955.084557864158
Instalación Deportiva Municipal Básica Pirineos,Principales espacios de deporte,CALLE PIRINEOS S/N frente a Francisco de Diego,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,922.9841854780161
Instalación Deportiva Municipal Básica Pista Deportiva P.A.R. La Alcazaba,Principales espacios de deporte,INST. DEPORTIVA BASICA SINESIO DELGADO 26,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,1637.6039962726234
Instalación Deportiva Municipal Básica Pista Deportiva Palas del Rey,Principales espacios de deporte,CALLE PALAS DE REY s/n c/v Frómista,249 - Manuel Caldeiro,Paseo de la Castellana nº 298,3883.7739341076767
Instalación Deportiva Municipal Básica Pista Deportiva Parque Miguel Aracil,Principales espacios de deporte,CALLE JOAQUIN LORENZO 39,261 - Facultad Derecho,Avenida Complutense nº 23,2585.5864611480065
Instalación Deportiva Municipal Básica Pista Deportiva Parque de Begoña,Principales espacios de deporte,AVENIDA LLANO CASTELLANO 1,249 - Manuel Caldeiro,Paseo de la Castellana nº 298,511.5019318846289
Instalación Deportiva Municipal Básica Pista P.A.R. Moralzarzal,Principales espacios de deporte,CALLE MORALZARZAL 88,217 - Pedro Rico,Calle Pedro Rico nº 4,3052.9621054908775
Instalación Deportiva Municipal Básica Pista de Patinaje Anfevi,Principales espacios de deporte,CALLE HACIENDA DE PAVONES 127,221 - Pavones,Calle Hacienda de Pavones nº 342,701.219741728267
Instalación Deportiva Municipal Básica Pista de Patinaje Avenida Niza,Principales espacios de deporte,AVENIDA NIZA s/n c/v Travesía de Carlos II,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3845.1829960863465
Instalación Deportiva Municipal Básica Pista de Petanca Centro de Mayores La Vaguada,Principales espacios de deporte,AVENIDA MONFORTE DE LEMOS 36,207 - Remonta,Calle Azucenas nº 1,2162.7851631011235
Instalación Deportiva Municipal Básica Pista de Petanca Parque Fuencarral,Principales espacios de deporte,CALLE AFUERAS A VALVERDE 2,217 - Pedro Rico,Calle Pedro Rico nº 4,1990.3684080834657
