Place of interest,Type of Place,Place Address,BiciMAD Station,Station Location,Distance
Instalación Deportiva Municipal Básica Valderromán,Principales espacios de deporte,CALLE VALDERROMAN 22,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,2194.188089577949
Instalación Deportiva Municipal Básica Valdetorres,Principales espacios de deporte,"CALLE VALDETORRES DE JARAMA 29 Estrecho Ormuz, 6",230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3051.26278781764
Instalación Deportiva Municipal Básica Valdeyeros,Principales espacios de deporte,CALLE ROSALIA DE CASTRO 77,261 - Facultad Derecho,Avenida Complutense nº 23,3652.438576319557
Instalación Deportiva Municipal Básica Valle Inclán,Principales espacios de deporte,CALLE VALLE INCLÁN  C/V Aldeanueva de la Vera,224 - Caramuel,Calle Caramuel nº 51,6102.695860644727
Instalación Deportiva Municipal Básica Vereda de Ganapanes,Principales espacios de deporte,CALLE BECERREA 4 c/v Sinesio Delgado,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,1718.5113181693896
Instalación Deportiva Municipal Básica Via Lusitana,Principales espacios de deporte,CALLE VIA LUSITANA 19 Parque Sur,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2673.2807668416835
Instalación Deportiva Municipal Básica Victoria Hernández (El Espinillo II - centro deportivo),Principales espacios de deporte,CALLE CONSENSO 5,235 - Embajadores 191,Calle Sodio nº 1B,3222.9829220215274
Instalación Deportiva Municipal Básica Villa de Pons - Avenida de San Luis,Principales espacios de deporte,AVENIDA SAN LUIS 23,254 - Pío XII,Avenida Pío XII nº 3,2791.4284856829695
Instalación Deportiva Municipal Básica Villabona,Principales espacios de deporte,CALLE VILLABONA 4,213 - Glorieta de Cádiz,Calle Antonio López nº 129,2755.140031588715
Instalación Deportiva Municipal Básica Villalonso,Principales espacios de deporte,CALLE VILLALONSO 8,213 - Glorieta de Cádiz,Calle Antonio López nº 129,4462.555671035207
Instalación Deportiva Municipal Básica Virgen de la Estrella,Principales espacios de deporte,PLAZUELA VIRGEN DE LA ESTRELLA 1,82 - Niño Jesús,Calle Doctor Esquerdo nº 161,181.6204823435055
Instalación Deportiva Municipal Básica Virgen del Cortijo,Principales espacios de deporte,CALLE OÑA 18,249 - Manuel Caldeiro,Paseo de la Castellana nº 298,2773.055200775958
Instalación Deportiva Municipal Básica Vital Aza,Principales espacios de deporte,CALLE VITAL AZA  esq. Ezequiel Solana,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,432.36053330241555
Instalación Deportiva Municipal Básica Yeserías I,Principales espacios de deporte,PASEO YESERIAS 1,169 - Pirámides,Calle Toledo nº 181,165.02058657669414
Instalación Deportiva Municipal Básica Zazuar,Principales espacios de deporte,CALLE ZAZUAR 1 c/v Avda. Mediterráneo,221 - Pavones,Calle Hacienda de Pavones nº 342,3805.318261001162
Instalación Deportiva Municipal Básica Zofío,Principales espacios de deporte,CALLE RICARDO BELTRAN Y ROZPIDE 12,228 - San Delfín,Calle San Delfín nº 9,1878.5933232263494
Instalación Deportiva Municipal Básica de Ribadeo y Verín,Principales espacios de deporte,PLAZAS INTERIORES ENTRE PLAZA RIBADEO 1 Y PLAZA VERIN,207 - Remonta,Calle Azucenas nº 1,2205.9303055379546
Instalación Deportiva Municipal Básica del Poblado Dirigido (Olesa de Montserrat),Principales espacios de deporte,AVENIDA CARDENAL HERRERA ORIA 108,217 - Pedro Rico,Calle Pedro Rico nº 4,1242.7596021214702
Instalación Deportiva Municipal Básica paseo de la Vaguada,Principales espacios de deporte,PASEO VAGUADA 13,207 - Remonta,Calle Azucenas nº 1,2463.02262467961
Instalación Deportiva Municipal Básica pista de patinaje Planetario,Principales espacios de deporte,AVENIDA PLANETARIO 7,180 - Méndez Álvaro,Calle Retama nº 5,666.3389673403387
Instalación Deportiva Municipal Básica poblado de Santa Ana,Principales espacios de deporte,CALLE Braille 15,217 - Pedro Rico,Calle Pedro Rico nº 4,1648.2414667735982
